"id","name","parent_id"
"__export__.product_category_21_85d51dbb","",""
"product.product_category_all","All",""
"delivery.product_category_deliveries","Deliveries","All"
"product.cat_expense","Expenses","All"
"product.product_category_1","Saleable","All"
"__export__.product_category_5_5c320d86","Accessory","All / Saleable"
"__export__.product_category_6_7dabf0fc","Battery","All / Saleable"
"__export__.product_category_7_16234e1a","Cartridges","All / Saleable"
"__export__.product_category_8_95182beb","Chargers","All / Saleable"
"__export__.product_category_9_bc43a31e","Coil","All / Saleable"
"__export__.product_category_10_69ea89e2","Disposable","All / Saleable"
"__export__.product_category_11_9b55f30d","Disposable E-Cig","All / Saleable"
"__export__.product_category_12_40483604","E-Juice","All / Saleable"
"__export__.product_category_13_3ffc40d6","Gift Card","All / Saleable"
"__export__.product_category_14_7087c356","Hemp","All / Saleable"
"__export__.product_category_15_821f60b4","Kit","All / Saleable"
"__export__.product_category_16_06cf38d9","Mod","All / Saleable"
"__export__.product_category_17_ecb352d2","Replacement Pod","All / Saleable"
"__export__.product_category_18_0dfd9682","ShopWill","All / Saleable"
"__export__.product_category_19_3438cdbf","Tank","All / Saleable"
